# name, mass,, mass_error, radius, radius_error, period, period_error, axis, axis_error, eccentricity, eccentricity_error, inclination, inclination_error, angular_distance, omega, omega_error, tperi, tperi_error, tconj, tconj_error, tzero_tr, tzero_tr_error, tzero_tr_sec, tzero_tr_sec_error, lambda_angle, lambda_angle_error, tzero_vr, tzero_vr_error, temp_calculated, temp_measured, hot_point_lon, log_g, detection_type, molecules, star.name, ra, dec, star.magnitude_v, star.magnitude_i, star.magnitude_j, star.magnitude_h, star.magnitude_k, star.distance, star.metallicity, star.mass, star.radius, star.spec_type, star.age, star.teff
GJ 3021 b,3.37,1071.323,[0.09],,,133.71,[0.2],0.49,,0.511,[0.017],,,0.027809,290.7,[3.0],51545.86,[0.64],,,,,,,,,,,,,,,detected by radial velocity,,GJ 3021,16:12.0,-79:51:04,6.59,,,,,17.62,0.1,0.9,0.9,G6 V,8.77,5540
GJ 317 b,1.8,572.22,[0.05],,,691.78,[4.7],1.15,[0.05],0.11,[0.05],45,"[10.0, 10.0]",0.076159,342,[10.0],2451656.7,[35.0],,,,,,,,,,,,,,,detected by radial velocity,,GJ 317,40:59.0,-23:27:23,12,,6.41,5.9,5.59,15.1,0.36,0.42,,M3.5,,3510
GJ 317 c,2,635.8,[0.0],,,10000,"[nan, inf]",30,[10.0],0.81,,,,1.986755,210,,,,,,,,,,,,,,,,,,detected by radial velocity,,GJ 317,40:59.0,-23:27:23,12,,6.41,5.9,5.59,15.1,0.36,0.42,,M3.5,,3510
GJ 328 b,2.3,731.17,[13.0],,[],4100,[300.0],4.5,[0.2],0.37,[0.05],,[],,,[],4500,[100.0],,[],,[],,,,,,,,,,,detected by radial velocity,,GJ 328,55:08.0,+01:32:56,9.98,,,,,19.8,0,0.69,,K7,,3900
GJ 3470 b,0.044,13.9876,[0.0047],0.41,[0.019],3.33671,[5e-05],0.03557,[0.001],,[],88.3,[0.5],,,[],,[],,[],2456090.477,[0.00015],,[],,[],,,,,,,detected by transit,,GJ 3470,59:06.0,+15:23:30,12.27,,,,,30.7,0.2,0.539,0.568,M1.5,1,3600
GJ 3634 b,0.022,6.9938,[0.0035],,[],2.64561,[0.00066],0.0287,[0.0011],0.08,"[0.057, 0.057]",59,"[24.0, 24.0]",0.001449,84,"[130.0, 130.0]",2454917.04,"[0.53, 0.53]",,[],,[],,,,,,,,,,,detected by radial velocity,,GJ 3634,58:35.0,-31:08:39,11.95,,,,,19.8,,0.45,0.43,M2.5,,
GJ 433 b,0.0182,5.78578,,,,7.3709,[0.0008],0.058,,0.08,[0.08],,,0.006416,-156,[54.0],2454287,[1.0],,,,,,,,,,,,,,,detected by radial velocity,,GJ 433,35:27.0,-32:32:24,9.79,,,,,9.04,-0.22,0.48,,M1.5,,3600
GJ 433 c,0.14,44.506,,,,3693,[253.0],3.6,,0.17,[0.09],,,0.39823,-154,[36.0],2456740,[462.0],,,,,,,,,,,,,,,detected by radial velocity,,GJ 433,35:27.0,-32:32:24,9.79,,,,,9.04,-0.22,0.48,,M1.5,,3600
GJ 436 b,0.0737,23.42923,[0.0052],0.365,[0.02],2.6438986,[1.6e-06],0.02887,[0.00095],0.15,[0.012],85.8,"[0.25, 0.25]",0.00283,351,[1.2],1551.716,[0.12],,[],2454222.616,[0.00012],,,,,,,,,,,detected by transit,"CO2, CO, H2O",GJ 436,42:11.0,+26:42:23,10.68,,,,,10.2,-0.32,0.452,0.464,M2.5,6,3684
GJ 504 b,4,1271.6,"[4.5, 1.0]",,[],,[],43.5,[],,[],,[],,,[],,[],,[],,[],,,,,,,,,,,detected by imaging,,GJ 504,16:47.0,+09:25:27,5.22,,,,,17.56,0.28,1.22,,GOV,0.16,6234
GJ 667C b,0.01718,5.461522,[],,[],7.199,[0.001],0.0504,[],0.09,[0.05],,[],0.007368,-4,[33.0],2454443.1,[0.6],,[],,[],,,,,,,,,,,detected by radial velocity,,GJ 667C,18:57.0,-34:59:23,10.22,,,,,6.84,-0.55,0.33,,M1.5V,2,3600
GJ 667C c,0.0134,4.25986,[],,[],28.13,[0.03],0.1251,[],0.34,[0.1],,[],0.018289,166,[20.0],2454462,[1.0],,[],,[],,[],,[],,,,,,,detected by radial velocity,,GJ 667C,18:57.0,-34:59:23,10.22,,,,,6.84,-0.55,0.33,,M1.5V,2,3600
GJ 667C d,0.0218,6.93022,[],,[],106.4,[0.1],0.3035,[],0.68,[0.06],,[],0.044371,7,[8.0],2454499,[1.0],,[],,[],,,,,,,,,,,detected by radial velocity,,GJ 667C,18:57.0,-34:59:23,10.22,,,,,6.84,-0.55,0.33,,M1.5V,2,3600
GJ 667C e,0.0085,2.70215,"[0.005, 0.0044]",,[],62.24,"[0.55, 0.75]",0.213,[0.02],0.02,"[0.22, 0.02]",,[],,29,[360.0],,[],,[],,[],,,,,,,,,,,detected by radial velocity,,GJ 667C,18:57.0,-34:59:23,10.22,,,,,6.84,-0.55,0.33,,M1.5V,2,3600
GJ 667C f,0.0085,2.70215,"[0.0044, 0.0038]",,[],39.026,[0.2],0.156,"[0.014, 0.017]",0.03,"[0.16, 0.03]",,[],,103,[360.0],,[],,[],,[],,,,,,,,,,,detected by radial velocity,,GJ 667C,18:57.0,-34:59:23,10.22,,,,,6.84,-0.55,0.33,,M1.5V,2,3600
GJ 667C g,0.0145,4.60955,"[0.008, 0.0072]",,[],256.2,"[14.0, 18.0]",0.549,[0.05],0.08,"[0.4, 0.08]",,[],,52,[360.0],,[],,[],,[],,,,,,,,,,,detected by radial velocity,,GJ 667C,18:57.0,-34:59:23,10.22,,,,,6.84,-0.55,0.33,,M1.5V,2,3600
GJ 674 b,0.037,11.7623,,,,4.6938,[0.007],0.039,,0.2,[0.02],,,0.00859,143,[6.0],2453780.085,[0.078],,,,,,,,,,,,,,,detected by radial velocity,,GJ 674,28:40.0,-46:53:43,9.38,,,,,4.54,-0.28,0.35,,M2.5,0.55,3600
GJ 676A b,4.95,1573.605,[0.31],,[],1050.3,[1.2],1.8,[0.07],0.328,[0.004],,[],0.109422,86.9,[0.69],2455411.9,[3.0],,[],,[],,,,,,,,,,,detected by radial velocity,,GJ 676A,30:11.0,-51:38:13,9.59,,,,,16.45,0.23,0.71,,M0V,,
GJ 676A c,3,953.7,[],,[],4400,[],5.2,[],0.2,[],,[],,356,[],,[],,[],,[],,,,,,,,,,,detected by radial velocity,,GJ 676A,30:11.0,-51:38:13,9.59,,,,,16.45,0.23,0.71,,M0V,,
GJ 676A d,0.014,4.4506,[0.002],,[],3.6,[0.0008],0.0413,[0.0014],0.15,[0.09],,[],,315,[109.0],,[],,[],,[],,,,,,,,,,,detected by radial velocity,,GJ 676A,30:11.0,-51:38:13,9.59,,,,,16.45,0.23,0.71,,M0V,,
GJ 676A e,0.036,11.4444,[0.005],,[],35.37,[0.07],0.187,[0.007],0.24,[0.12],,[],,332,[126.0],,[],,[],,[],,,,,,,,,,,detected by radial velocity,,GJ 676A,30:11.0,-51:38:13,9.59,,,,,16.45,0.23,0.71,,M0V,,
GJ 832 b,0.64,203.456,[0.06],,,3416,[131.0],3.4,[0.4],0.12,[0.11],,,0.688259,304,[38.0],1211,[353.0],,,,,,,,,,,,,,,detected by radial velocity,,GJ 832,33:34.0,-49:00:32,8.67,,,,,4.94,-0.31,0.45,,,,
GJ 849 b,0.9,286.11,[0.05],,[],1914,[26.0],2.35,[],0.012,[],,[],0.267045,351,[60.0],11462,[550.0],2440537.34,[],,[],,,,,,,,,,,detected by radial velocity,,GJ 849,09:40.0,-04:38:27,10.37,,,,,9.1,0.22,0.49,0.52,M3.5V,,
GJ 849 c,0.77,244.783,[],,[],7049,"[6246.0, 2155.0]",,[],0.218,[],,[],,,[],,[],2443586.3,[],,[],,,,,,,,,,,detected by radial velocity,,GJ 849,09:40.0,-04:38:27,10.37,,,,,9.1,0.22,0.49,0.52,M3.5V,,
GQ Lup b,21.5,6834.85,[20.5],1.8,,,,103,[37.0],,,,,0.735714,,,,,,,,,,,,,,,,,,,detected by imaging,,GQ Lup,49:12.0,-35:39:03,11.4,,,,,140,,0.7,,K7eV,0.001,
GSC 06214-00210 b,17,5404.3,[3.0],,,,,320,[0.0],,,,,2.206897,,,,,,,,,,,,,,,,,,,detected by imaging,,GSC 06214-00210,21:55.0,-20:43:07,,,,,9.15,145,,0.6,,M1,0.011,
Gj 163 b,0.0334,10.61786,[0.0019],,[],8.633,[0.00155],0.06069,[0.0001],0.0106,[0.05],,[],,74.73,[15.7],,[],,[],,[],,,,,,,,,,,detected by radial velocity,,Gl 163,09:16.0,-53:22:25,11.8,,,,,15,,0.4,,M3.5,3,
Gj 163 c,0.02285,7.264015,[0.0028],,[],25.645,[0.0235],0.1254,[0.0001],0.094,[86.0],,[],,235.4,[80.0],,[],,[],,[],,,,,,,,,,,detected by radial velocity,,Gl 163,09:16.0,-53:22:25,11.8,,,,,15,,0.4,,M3.5,3,
Gj 163 d,0.06945,22.078155,[0.0092],,[],600.895,[7.56],1.02689,[0.0086],0.399,[0.077],,[],,126.915,[20.5],,[],,[],,[],,,,,,,,,,,detected by radial velocity,,Gl 163,09:16.0,-53:22:25,11.8,,,,,15,,0.4,,M3.5,3,
Gl 179 b,0.82,260.678,[0.07],,[],2288,[59.0],2.41,[0.04],0.21,[0.08],,[],0.195935,153,[24.0],25140,[104.0],,[],,[],,,,,,,,,,,detected by radial velocity,,Gl 179,52:06.0,+06:28:36,11.96,,,,,12.3,0.3,0.357,0.38,M3.5,,3370
Gl 581 b,0.05,15.895,[],,[],5.36865,[9e-05],0.041,[],0.031,[0.014],,[],0.006602,251,[26.0],55753.95,[0.39],,[],,[],,,,,,,,,,,detected by radial velocity,,Gl 581,19:26.0,-07:43:20,10.55,,,,,6.21,-0.135,0.31,0.3,M2.5V,8,3498
Gl 581 c,0.017,5.4043,[],,[],12.9182,[0.0022],0.073,[],0.07,[0.06],,[],0.011755,235,[44.0],54763,[1.6],,[],,[],,,,,,,,,,,detected by radial velocity,,Gl 581,19:26.0,-07:43:20,10.55,,,,,6.21,-0.135,0.31,0.3,M2.5V,8,3498
Gl 581 d,0.019,6.0401,[],,[],66.64,[0.08],0.22,[],0.205,[0.08],,[],0.035427,2,[23.0],245141.6407,[4.19],,[],,[],,[],,[],,,,,,,detected by radial velocity,,Gl 581,19:26.0,-07:43:20,10.55,,,,,6.21,-0.135,0.31,0.3,M2.5V,8,3498
Gl 581 e,0.0061,1.93919,[],,[],3.14945,[0.00017],0.028,[],0.32,[0.09],,[],0.004509,236,[17.0],54750.31,[0.13],,[],,[],,,,,,,,,,,detected by radial velocity,,Gl 581,19:26.0,-07:43:20,10.55,,,,,6.21,-0.135,0.31,0.3,M2.5V,8,3498
Gl 649 b,0.328,104.2712,[0.032],,[],598.3,[4.2],1.135,[0.035],0.3,[0.08],,[],0.109768,352,[15.0],12876,[22.0],,[],,[],,,,,,,,,,,detected by radial velocity,,Gl 649,58:09.0,+25:44:39,9.7,,,,,10.34,0.08,0.54,,M1.5,,3700
Gl 649 c,0.03,9.537,[0.008],,[],4.4762,[0.0004],0.043,[0.001],0.2,[0.15],,[],,334,[47.0],,[],,[],,[],,,,,,,,,,,detected by radial velocity,,Gl 649,58:09.0,+25:44:39,9.7,,,,,10.34,0.08,0.54,,M1.5,,3700
Gl 785 b,0.053,16.8487,[0.0028],,,74.72,[0.1],0.32,[0.005],0.13,[0.04],,,0.035911,173,[20.0],2455151.026,,5173.2,[2.0],,,,,,,,,,,,,detected by radial velocity,,Gl 785,15:17.0,-27:01:59,6.13,,,,,8.911,0.08,0.78,0.68,K1V,,5144
Gl 86 b,4.01,1274.779,[],,[],15.766,[0.04],0.11,[],0.046,[0.004],,[],0.010092,266,[],1146.54,[0.2],,[],,[],,,,,,,,,,,detected by radial velocity,,Gl 86,10:14.0,-50:49:60,6.17,,,,,10.9,-0.24,0.8,0.855,K1V,2.03,5350
Gliese 876 b,2.2756,723.41324,[0.0045],,[],61.1166,[0.0086],0.208317,[2e-05],0.0324,[0.0013],84,[6.0],0.044323,50.3,[3.2],,[],,[],,[],,[],,[],,,,,,,detected by radial velocity,,Gliese 876,53:13.0,-14:15:13,10.17,,,,,4.7,0.05,0.334,0.36,M4 V,2.5,3350
Gliese 876 c,0.7142,227.04418,[0.0039],,[],30.0881,[0.0082],0.12959,[2.4e-05],0.25591,[3e-05],48.07,[2.06],0.027572,48.76,[0.7],,[],,[],,[],,[],,[],,,,,,,detected by radial velocity,,Gliese 876,53:13.0,-14:15:13,10.17,,,,,4.7,0.05,0.334,0.36,M4 V,2.5,3350
Gliese 876 d,0.021,6.6759,[0.001],,[],1.93778,[2e-05],0.02080665,[1.5e-07],0.207,[0.055],50,[],0.004427,234,[20.0],,[],,[],,[],,,,,,,,,,,detected by radial velocity,,Gliese 876,53:13.0,-14:15:13,10.17,,,,,4.7,0.05,0.334,0.36,M4 V,2.5,3350
Gliese 876 e,0.046,14.6234,[0.005],,[],124.26,[0.7],0.3343,[0.0013],0.055,[0.012],59.5,[],0.071128,239.22,[],,[],,[],,[],,,,,,,,,,,detected by radial velocity,,Gliese 876,53:13.0,-14:15:13,10.17,,,,,4.7,0.05,0.334,0.36,M4 V,2.5,3350
HAT-P-1 b,0.525,166.8975,[0.019],1.319,[0.019],4.46529976,[5.5e-07],0.05561,[0.00083],0.067,"[inf, nan]",85.634,[0.056],0.000398,0,[],,[],,[],2453979.932,[0.00024],,[],,[],,,1322,,,,detected by transit,"H2O, K",HAT-P-1,57:47.0,+38:40:30,10.4,,,,,139,0.13,1.151,1.174,GOV,3.6,5980
HAT-P-11 b,0.081,25.7499,[0.009],0.452,[0.02],4.887804,[4e-06],0.053,"[0.0008, 0.0008]",0.198,[0.046],88.5,[0.6],0.001395,355.2,[17.3],,[],,[],2454605.891,[0.00032],,,,,,,,,,,detected by transit,,HAT-P-11,50:50.0,+48:04:51,9.59,,,,,38,0.31,0.81,0.75,K4,6.5,4780
HAT-P-12 b,0.211,67.0769,[0.012],0.959,"[0.021, 0.021]",3.2130598,[2.1e-06],0.0384,[0.0003],0,[],,[],0.000269,,[],,[],,[],2454419.196,[0.0002],,,,,,,,,,,detected by transit,,HAT-P-12,57:34.0,+43:29:37,12.84,,,,,142.5,-0.29,0.73,0.7,,2.5,4650
HAT-P-13 b,0.85,270.215,[0.038],1.28,[0.079],2.916243,[3e-06],0.0426,"[0.0012, 0.0012]",0.0142,"[0.0044, 0.0044]",83.3,[0.62],0.000199,223,"[38.0, 38.0]",,[],,[],2455176.539,[0.00034],,,,,,,,,,,detected by transit,,HAT-P-13,39:32.0,+47:21:07,10.62,,,,,214,0.43,1.22,1.56,G4,5,5638
HAT-P-13 c,14.5,4609.55,[1.0],,,448.2,[1.0],1.186,"[0.033, 0.033]",0.666,[0.018],,,0.005542,175.61,[0.45],2454890.05,[0.48],2455315.2,[1.9],,,,,,,,,,,,,detected by radial velocity,,HAT-P-13,39:32.0,+47:21:07,10.62,,,,,214,0.43,1.22,1.56,G4,5,5638
HAT-P-14 b,2.2,699.38,[0.04],1.2,[0.04],4.627657,[5e-06],0.0594,[0.0004],0.095,[0.011],83.2,[0.2],0.00029,99,[4.0],,,,,2455134.439,[0.00027],,,,,,,,,,,detected by transit,,HAT-P-14,20:28.0,+38:14:32,9.98,,,,,205,0.11,1.386,1.468,F,1.3,6600
HAT-P-15 b,1.946,618.6334,[0.066],1.072,[0.043],10.863502,[27.0],0.0964,[0.0014],0.19,[0.019],89.1,[0.2],0.000507,262,[1.0],,,,,2454638.56,[0.00048],,,,,,,,,,,detected by transit,,HAT-P-15,25:00.0,+39:27:38,12.16,,,,,190,0.22,1.013,1.08,G5,6.8,5568
HAT-P-16 b,4.193,1332.9547,[0.094],1.289,[0.066],2.77596,[3e-06],0.0413,[0.0004],0.036,[0.004],86.6,[0.7],0.000176,214,[8.0],,[],,[],2455027.593,[0.00031],,,,,,,,,,,detected by transit,,HAT-P-16,38:18.0,+42:27:47,10.8,,,,,235,0.17,1.218,1.237,F8,2,6158
HAT-P-17 b,0.534,169.7586,[0.018],1.01,[],10.338523,[],0.0882,[],0.346,[],89.2,[],0.00098,201,[],,[],,[],2454804.246,[],,,,,,,,,,,detected by transit,,HAT-P-17,38:09.0,+30:29:19,10.54,,,,,90,0,0.857,0.837,K,7.8,5246
HAT-P-17 c,1.4,445.06,,,,1798,,2.75,,0.1,,,,0.030556,155,,2452636,,,,,,,,,,,,,,,,detected by radial velocity,,HAT-P-17,38:09.0,+30:29:19,10.54,,,,,90,0,0.857,0.837,K,7.8,5246
HAT-P-18 b,0.197,62.6263,[0.013],0.995,[0.052],5.508023,[6e-06],0.0559,[0.0007],0.084,[0.048],88.8,[0.3],0.000337,120,[56.0],,,,,2454715.022,[0.0002],,,,,,,,,,,detected by transit,,HAT-P-18,05:24.0,+33:00:45,12.76,,,,,166,0.1,0.77,0.749,K,12.4,4803
HAT-P-19 b,0.292,92.8268,[0.018],1.132,[0.072],4.008778,[6e-06],0.0466,[0.0008],0.067,[0.042],88.2,[0.4],0.000217,256,[77.0],,,,,2455091.534,[0.00034],,,,,,,,,,,detected by transit,,HAT-P-19,38:04.0,+34:42:42,12.9,,,,,215,0.23,0.842,0.82,K,8.8,4990
HAT-P-2 b,8.74,2778.446,[0.26],0.951,"[0.053, 0.053]",5.6334729,[6.1e-06],0.0674,[0.00081],0.5171,[0.0033],90,"[0.93, 0.93]",0.000571,185.22,[0.95],2454213.479,"[0.003, 0.003]",,[],2454387.494,[0.00074],,,,,,,,,,,detected by transit,,HAT-P-2,20:36.0,+41:02:53,8.71,,,,,118,0.14,1.36,1.64,F8,2.7,6290
HAT-P-20 b,7.246,2303.5034,[0.187],0.867,[0.033],2.875317,[4e-06],0.0361,[0.0005],0.015,[0.0005],86.8,[0.2],0.000516,317,[130.0],,,,,2455080.927,[0.00021],,,,,,,,,,,detected by transit,,HAT-P-20,27:40.0,+24:20:11,11.34,,,,,70,0.35,0.756,0.694,K7,6.7,4595
HAT-P-21 b,4.063,1291.6277,[0.161],1.024,[1.024],4.124461,[7e-06],0.0494,[0.0007],0.228,[0.016],87.2,[0.7],0.000194,300,[3.0],,,,,2454996.413,[0.00069],,,,,,,,,,,detected by transit,,HAT-P-21,25:06.0,+41:01:41,11.46,,,,,254,0.01,0.947,1.105,G3,10.2,5588
HAT-P-22 b,2.147,682.5313,[0.061],1.08,[0.058],3.21222,[9e-06],0.0414,[0.0005],0.016,[0.009],86.9,[0.6],0.000505,156,[66.0],,,,,2454930.22,[0.00025],,,,,,,,,,,detected by transit,,HAT-P-22,22:44.0,+50:07:42,9.73,,,,,82,0.24,0.916,1.04,G5,12.4,5302
HAT-P-23 b,2.09,664.411,[0.11],1.368,[0.09],1.212884,[2e-05],0.0232,[0.0002],0.106,[0.044],85.1,[1.5],5.90E-05,118,[25.0],,,,,2454852.265,[0.00018],,,,,,,,,,,detected by transit,,HAT-P-23,24:30.0,+16:45:44,11.94,,,,,393,0.15,1.13,1.203,G5,4,5905
HAT-P-24 b,0.685,217.7615,[0.033],1.242,[0.067],3.35524,[7e-06],0.0465,[0.0006],0.067,[0.024],88.6,[0.7],0.000152,197,[36.0],,,,,2455216.977,[0.00028],,,,,,,,,,,detected by transit,,HAT-P-24,15:18.0,+14:15:44,11.82,,,,,306,-0.16,1.191,1.317,F8,2.8,6373
HAT-P-25 b,0.567,180.2493,[],1.19,[],3.652836,[],0.0466,[],0.032,[],87.6,[],0.000157,271,[],,[],,[],2455176.852,[],,,,,,,,,,,detected by transit,,HAT-P-25,13:45.0,+25:11:51,13.19,,,,,297,0.31,1.01,0.959,G5,3.2,5500
HAT-P-26 b,0.059,18.7561,[0.007],0.565,"[0.032, 0.032]",4.234516,[1.5e-05],0.0479,[0.0006],0.124,[0.06],88.6,"[0.9, 0.9]",0.000357,54,[165.0],,,,,2455304.651,[0.00035],,,,,,,,,,,detected by transit,,HAT-P-26,00:00.0,+00:00:00,11.74,,,,,134,-0.04,0.816,0.788,K1,9,5079
HAT-P-27-WASP-40 b,0.66,209.814,[0.033],1.055,"[0.036, 0.036]",3.0395721,[7.8e-06],0.0403,[0.0005],0.078,[0.047],84.98,"[0.2, 0.2]",0.000198,63,[64.0],,[],,[],2455368.394,[0.00017],,,,,,,,,,,detected by transit,,HAT-P-27-WASP-40,51:04.0,+05:56:50,12.21,,,,,204,0.29,0.945,0.898,G8,4.4,5300
HAT-P-28 b,0.626,199.0054,[0.037],1.212,"[0.082, 0.082]",3.257215,[7e-06],0.0434,[0.0007],0.051,[0.033],88,[0.9],0.00011,233,[90.0],,,,,2455417.598,[0.00053],,,,,,,,,,,detected by transit,,HAT-P-28,52:00.0,+34:43:42,13.03,,,,,395,0.12,1.025,1.103,G3,6.1,5680
HAT-P-29 b,0.778,247.3262,"[0.076, 0.04]",1.107,"[0.082, 0.082]",5.72318,[4.9e-05],0.0667,[0.0008],0.095,[0.047],87.1,"[0.7, 0.7]",0.000207,169,[30.0],,,,,2455197.575,[0.00181],,,,,,,,,,,detected by transit,,HAT-P-29,12:31.0,+51:46:44,11.9,,,,,322,0.21,1.207,1.224,F8,2.2,6087
HAT-P-3 b,0.591,187.8789,[0.018],0.827,[0.055],2.899703,[5.4e-05],0.03866,[0.00041],0,[0.0],87.07,[0.55],0.000297,,[],,[],,[],2454856.701,[0.0001],,,,,,,,,,,detected by transit,,HAT-P-3,44:23.0,+48:01:43,11.86,,9.936,9.542,9.448,130,0.41,0.917,0.799,K,1.6,5224
HAT-P-30-WASP-51 b,0.711,226.0269,[0.028],1.34,[0.065],2.810595,[5e-06],0.0419,[0.0005],0.035,[0.024],83.6,[0.4],0.000217,252,[84.0],,[],,[],2455456.466,[0.00037],,,,,,,,,,,detected by transit,,HAT-P-30-WASP-51,15:48.0,+05:50:12,10.42,,,,,193,-0.08,1.18,1.33,F,1,6250
HAT-P-31 b,2.171,690.1609,"[0.077, 0.106]",1.07,"[0.32, 0.32]",5.005425,[9.2e-05],0.055,[0.015],0.245,[0.0045],87.1,"[2.7, 2.7]",0.000155,274.3,[1.8],,,,,2454320.887,[0.0053],,,,,,,,,,,detected by transit,,HAT-P-31,06:09.0,+26:25:36,11.66,,,,,354,0.15,1.218,1.36,,3.17,6065
HAT-P-32 b,0.941,299.1439,[0.166],2.037,[0.099],2.150009,[1e-06],0.0344,"[0.0007, 0.0007]",0.163,[0.061],88.7,[0.6],0.000108,52,[29.0],,[],,[],2454416.146,[9e-05],,,,,,,,,,,detected by transit,,HAT-P-32,01:10.0,+46:41:16,11.29,,,,,320,-0.16,1.176,1.387,F/G,3.8,6001
HAT-P-33 b,0.763,242.5577,[0.117],1.827,[0.29],3.474474,[1e-06],0.0503,[0.0011],0.148,[0.081],86.7,"[1.2, 1.2]",0.00012,96,[119.0],,[],,[],2455100.503,[0.00023],,,,,,,,,,,detected by transit,,HAT-P-33,32:44.0,+33:50:06,11.89,,,,,419,0.05,1.403,1.777,F,2.4,6401
HAT-P-34 b,3.328,1057.9712,[0.211],1.107,"[0.092, 0.092]",5.452654,[1.6e-05],0.0677,[0.0008],0.441,[0.052],87.1,[1.2],0.000263,20,[14.0],,,,,2455431.596,[0.00055],,,,,,,,,,,detected by transit,,HAT-P-34,12:47.0,+18:06:18,10.16,,,,,257,0.22,1.392,1.535,,1.7,6442
HAT-P-35 b,1.054,335.0666,[0.033],1.332,[0.098],3.646706,[2.1e-05],0.0498,[0.0006],0.025,[0.018],87.3,[1.0],9.30E-05,248,[93.0],,,,,2455578.061,[0.0005],,,,,,,,,,,detected by transit,,HAT-P-35,13:00.0,+04:47:13,12.46,,,,,535,0.11,1.236,1.435,,3.5,6096
HAT-P-36 b,1.832,582.3928,[0.099],1.264,[0.071],1.327347,[3e-06],0.0238,[0.0004],0.063,[0.032],86,[1.3],7.50E-05,95,[63.0],,,,,2455565.181,[0.0002],,,,,,,,,,,detected by transit,,HAT-P-36,33:03.0,+44:54:55,12.26,,,,,317,0.26,1.022,1.096,,6.6,5580
HAT-P-37 b,1.169,371.6251,[0.103],1.178,[0.077],2.797436,[7e-06],0.0379,[0.0006],0.058,[0.038],86.9,[0.5],9.20E-05,164,[14.0],,,,,2455641.143,[0.00029],,,,,,,,,,,detected by transit,,HAT-P-37,57:11.0,+51:16:09,13.23,,,,,411,0.03,0.929,0.877,,3.6,5500
HAT-P-38 b,0.267,84.8793,[0.02],0.825,"[0.063, 0.063]",4.640382,[3.2e-05],0.0523,[0.0009],0.067,[0.047],88.3,[0.7],0.00021,240,[104.0],,,,,2455863.12,[0.00035],,,,,,,,,,,detected by transit,,HAT-P-38,00:00.0,+00:00:00,12.56,,,,,249,0.06,0.886,0.923,G,10.1,5330
HAT-P-39 b,0.599,190.4221,[0.099],1.571,"[0.108, 0.081]",3.54387,[5e-06],0.0509,[0.0006],,[],87,[1.0],,,[],,[],,[],2455208.75,[0.00041],,,,,,,,,,,detected by transit,,HAT-P-39,35:02.0,+17:49:48,11.42,,,,,642,0.19,1.404,1.625,,2,6430
HAT-P-4 b,0.68,216.172,[0.04],1.27,[0.05],3.0565114,[2.8e-06],0.0446,[0.0012],0,[],89.67,[0.3],0.000144,,[],,[],,[],2454502.562,[0.00021],,,,,,,,,,,detected by transit,,HAT-P-4,19:58.0,+36:13:47,11.2,,,,,310,0.2,1.26,1.59,F,4.2,5890
HAT-P-40 b,0.615,195.5085,[0.038],1.73,[0.062],4.457243,[1e-05],0.0608,"[0.0006, 0.0015]",,[],88.3,[0.9],,,[],,[],,[],2.46E+11,[0.00054],,,,,,,,,,,detected by transit,,HAT-P-40,22:03.0,+45:27:27,11.7,,,,,501,0.22,1.512,2.206,,2.7,6080
HAT-P-41 b,0.812,258.1348,[0.094],1.529,"[0.185, 0.136]",2.694047,[4e-06],0.0424,[0.0007],,[],87.9,[0.9],,,[],,[],,[],2454983.862,[0.00107],,,,,,,,,,,detected by transit,,HAT-P-41,49:17.0,+04:40:21,11.09,,,,,311,0.21,1.405,1.525,,1.5,6390
HAT-P-42 b,0.975,309.9525,[0.126],1.277,[0.149],4.641876,[3.2e-05],0.0575,[0.0011],0,[],85.9,"[0.8, 1.3]",,,[],,[],,[],2455952.526,[0.00077],,,,,,,1427,,,3.17,detected by transit,,HAT-P-42,01:23.0,+06:05:50,12.17,,,,,447,0.27,1.179,1.528,,5.1,5743
HAT-P-43 b,0.66,209.814,[0.083],1.283,"[0.034, 0.057]",3.332688,[1.6e-05],0.0443,"[0.0006, 0.0004]",0,[],88.7,[0.7],,,[],,[],,[],2455997.371,[0.00033],,,,,,,1361,,,,detected by transit,,HAT-P-43,35:42.0,+10:12:24,13.36,,,,,543,0.23,1.048,1.104,,5.7,5645
HAT-P-44 b,0.392,124.6168,[0.031],1.28,"[0.145, 0.074]",4.301217,[1.8e-05],0.0507,[0.0007],0.072,[0.071],89,[0.5],,,[],,[],,[],,[],,,,,,,,,,,detected by transit,,HAT-P-44,12:35.0,+47:00:53,13.212,,,,,374,0.33,0.939,0.979,,8.9,5295
HAT-P-44 c,1.6,508.64,[0.2],,[],219.9,[4.5],0.699,[0.014],,[],,[],,,[],,[],,[],,[],,,,,,,,,,,detected by transit,,HAT-P-44,12:35.0,+47:00:53,13.212,,,,,374,0.33,0.939,0.979,,8.9,5295
HAT-P-45 b,0.892,283.5668,"[0.137, 0.099]",1.426,"[0.175, 0.087]",3.128992,[1e-05],0.0452,[0.0007],0.049,[0.063],87.8,[0.9],,,[],,[],,[],,[],,,,,,,,,,,detected by transit,,HAT-P-45,17:30.0,-03:22:52,12.794,,,,,305,0.07,1.259,1.319,,2,6330
